Co-term, , , , , , , ,Target,Co-term
Dynasty,shi,han,houhan,sanguo,jiutang,song,ming,Total,Total
廡,6,2,8,0,3,71,88,178,178
鬺,2,1,0,0,0,0,0,3,3
淪,2,6,16,6,59,89,40,218,218
鼐,2,1,0,0,0,20,140,163,163
鼒,2,1,0,0,1,1,17,22,22
潤,15,38,19,17,214,337,150,790,790
札,30,20,17,5,4,33,19,128,128
屣,5,1,5,2,7,6,2,28,28
牦,1,0,0,0,7,0,0,8,8
豆,19,18,28,9,150,263,178,665,665
餟,1,0,0,0,0,0,0,1,1
洎,3,4,0,0,160,211,8,386,386
炊,10,8,4,2,5,11,16,56,56
瑄,2,1,0,0,56,15,289,363,363
祐,2,24,82,7,347,2626,331,3419,3419
幡,6,12,22,3,19,135,41,238,238
緱,18,19,12,0,15,9,7,80,80
誕,7,8,21,120,170,181,79,586,586
瑟,24,19,11,2,65,67,21,209,209
箜,1,0,0,0,23,5,3,32,32
篌,1,0,0,0,23,5,3,32,32
拘,26,38,87,35,118,259,135,698,698
騁,17,32,22,10,20,35,20,156,156
弁,3,14,17,19,76,103,125,357,357
牒,5,5,19,1,140,465,124,759,759
脊,7,3,3,3,10,63,26,115,115
兕,11,4,3,2,0,31,6,57,57
兢,15,41,27,12,63,48,19,225,225
菲,2,6,10,2,22,24,16,82,82
屑,2,6,8,6,12,30,32,96,96
茀,17,9,0,1,0,12,0,39,39
瓠,13,16,10,2,6,8,7,62,62
仍,10,39,49,28,1646,1886,1309,4967,4967
耀,5,14,34,42,161,205,163,624,624
甌,28,32,1,1,9,17,36,124,124
秏,17,11,1,0,0,0,0,29,29
遽,9,14,34,20,327,448,222,1074,1074
莖,14,12,4,2,14,57,3,106,106
曉,5,52,88,29,114,269,204,761,761
玊,4,0,0,0,0,0,0,4,4
災,22,386,261,49,259,718,1027,2722,2722
渤,2,10,7,1,147,70,31,268,268
圈,6,10,0,1,6,16,45,84,84
液,13,9,6,0,26,17,5,76,76
幹,5,15,64,110,404,755,461,1814,1814
輦,13,26,29,17,77,465,137,764,764
熟,20,7,20,17,102,426,198,790,790
芬,6,12,3,7,43,61,62,194,194
芳,7,17,85,31,92,140,654,1026,1026
禺,32,18,19,3,23,22,39,156,156
岳,10,8,12,7,136,487,137,797,797
縻,5,10,10,6,49,108,36,224,224
睹,30,25,16,19,77,97,62,326,326
究,12,44,29,27,99,363,157,731,731
酬,4,0,20,1,85,157,69,336,336
纂,4,10,3,35,75,165,172,464,464
嵩,5,9,154,15,236,311,886,1616,1616
疲,2,1,51,47,95,95,93,384,384
譜,11,9,3,2,67,246,61,399,399
諜,10,3,2,3,32,164,75,289,289
繫,11,139,97,23,49,428,181,928,928
