Target,target_abs_freq, target_rel_freq*100, ref_abs_freq, ref_rel_freq*100, CHI2
從,57,0.16,23095,0.26,10632.24
妄,12,0.03,1308,0.01,8893.97
廷,14,0.04,8646,0.1,10232.22
神,22,0.06,9885,0.11,8090.38
振,7,0.02,3202,0.04,4708.38
說,9,0.03,4922,0.06,7024.29
資,13,0.04,3366,0.04,235.31
穀,20,0.06,2028,0.02,12527.89
種,19,0.05,1684,0.02,14148.37
衡,6,0.02,2444,0.03,3485.21
舒,7,0.02,1342,0.02,2190.03
厥,14,0.04,1653,0.02,8653.05
州,209,0.6,64862,0.74,8756.44
雜,13,0.04,2148,0.02,4595.88
博,19,0.05,4859,0.06,124.47
投,11,0.03,1310,0.01,7579.75
曹,22,0.06,4834,0.06,1977.66
手,13,0.04,3033,0.03,878.32
罰,6,0.02,1787,0.02,1178.08
目,6,0.02,2723,0.03,4299.12
髡,7,0.02,134,0.0,25758.36
合,12,0.03,8932,0.1,11633.34
席,5,0.01,894,0.01,2318.09
履,5,0.01,1048,0.01,1256.22
堂,10,0.03,3495,0.04,3033.38
滅,6,0.02,2280,0.03,2967.84
送,25,0.07,3234,0.04,10129.43
羅,15,0.04,3411,0.04,1238.19
解,9,0.03,4651,0.05,6484.51
澤,16,0.05,2907,0.03,3954.81
心,14,0.04,9493,0.11,11388.21
宅,6,0.02,1120,0.01,2223.07
屋,12,0.03,894,0.01,13302.02
論,8,0.02,10025,0.11,14910.67
罷,8,0.02,9421,0.11,14218.9
張,62,0.18,13707,0.16,3177.97
延,37,0.11,6042,0.07,7972.0
誣,6,0.02,1351,0.02,854.75
陸,8,0.02,2022,0.02,17.75
雲,20,0.06,7210,0.08,4708.0
平,111,0.32,24044,0.27,4894.5
姊,5,0.01,383,0.0,8369.71
婿,8,0.02,448,0.01,13793.03
遼,6,0.02,2601,0.03,3952.57
軍,144,0.42,45018,0.51,7522.77
范,10,0.03,1773,0.02,3358.5
府,46,0.13,19646,0.22,10643.79
鄧,6,0.02,1713,0.02,870.06
郎,108,0.31,20871,0.24,8363.8
任,21,0.06,8098,0.09,5758.14
馮,9,0.03,1537,0.02,3524.66
逆,9,0.03,2756,0.03,1691.08
爵,69,0.2,3521,0.04,43474.9
級,70,0.2,1516,0.02,75984.15
傳,14,0.04,6862,0.08,7465.54
鄭,25,0.07,4294,0.05,5788.89
攻,27,0.08,6633,0.08,470.59
寺,7,0.02,3332,0.04,5035.76
徒,20,0.06,4339,0.05,2054.58
庫,9,0.03,2305,0.03,98.66
樊,9,0.03,646,0.01,11911.84
並,70,0.2,12753,0.15,8207.94
劫,9,0.03,1053,0.01,7024.29
略,18,0.05,4374,0.05,521.47
敕,5,0.01,3922,0.04,7909.87
犯,13,0.04,9586,0.11,11993.5
法,21,0.06,14844,0.17,14591.3
繫,6,0.02,923,0.01,3653.65
章,46,0.13,9796,0.11,3491.6
覺,6,0.02,1097,0.01,2375.37
霍,8,0.02,710,0.01,9167.5
